year,participant,discipline_id,discipline_name,result_value,result_unit,place,points,overall_rank,overall_points,source_id,notes,source_url
2025,Алексей Уваровский,us_togul_us,Якутские прыжки 3х3,33.00,метры,3,3,6,51,S8,Raw result available from first-day media report; place/points from Dygyn.com.,https://yakutia.mk.ru/sport/2025/06/28/igry-dygyna-2025-stali-izvestny-lidery-pervogo-dnya-sostyazaniy.html
2025,Алексей Уваровский,tutum_ergiir,Якутская вертушка,66,обороты,2,2,6,51,S8,Raw result available from first-day media report; place/points from Dygyn.com.,https://yakutia.mk.ru/sport/2025/06/28/igry-dygyna-2025-stali-izvestny-lidery-pervogo-dnya-sostyazaniy.html
2025,Алексей Уваровский,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,16,16,6,51,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Уваровский,archery,Стрельба из традиционного лука,,очки,7,7,6,51,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Уваровский,run_400m,Бег 400 метров,,секунды,9,9,6,51,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Уваровский,khapsagay,Борьба хапсагай,,место / победы-поражения,5,5,6,51,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Уваровский,taas_kotoguu,Поднятие и переноска камня,,метры,9,9,6,51,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Вячеслав Дьяконов,us_togul_us,Якутские прыжки 3х3,,метры,7,7,7,53,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Вячеслав Дьяконов,tutum_ergiir,Якутская вертушка,66,обороты,3,3,7,53,S8,Raw result available from first-day media report; place/points from Dygyn.com.,https://yakutia.mk.ru/sport/2025/06/28/igry-dygyna-2025-stali-izvestny-lidery-pervogo-dnya-sostyazaniy.html
2025,Вячеслав Дьяконов,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,6,6,7,53,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
